"행정구역별",2013.1/2,2013.2/2,2014.1/2,2014.2/2,2015.1/2,2015.2/2,2016.1/2,2016.2/2,2017.1/2,2017.2/2,2018.1/2,2018.2/2,2019.1/2,2019.2/2,2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2,2022.2/2,2023.1/2,2023.2/2
"행정구역별",실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％)
"대전 동구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.3,2.6,3.1,2.4,3.1,2.4
"대전 중구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.5,2.5,2.8,2.6,3.4,2.9
"대전 서구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.4,2.8,2.2,2.9,2.6,2.2
"대전 유성구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.5,2.1,1.9,2.2,2.1,2.2
"대전 대덕구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.5,2.4,2.0,1.8,3.5,2.1
"울산 중구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4,3.8,4.2,4.7,3.9,3.9
"울산 남구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.7,4.2,4.2,3.4,3.4,3.7
"울산 동구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.9,4.3,3.7,3.8,3.0,4.8
"울산 북구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6,4.0,3.8,4.5,3.1,4.2
"울산 울주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.6,3.0,3.2,2.3,4.1,4.0
"수원시",5.1,3.8,4.3,2.6,5.0,3.5,4.7,3.6,3.6,3.9,4.8,4.0,4.3,3.8,3.8,3.9,3.8,2.9,2.3,2.8,3.6,4.4
"성남시",4.4,3.4,4.5,4.0,4.3,3.3,3.3,3.4,2.7,4.0,4.7,4.8,4.6,4.9,3.9,5.2,4.9,3.2,3.0,2.9,3.1,3.5
"의정부시",2.0,2.9,3.0,1.7,3.5,3.4,3.9,4.1,5.0,5.1,4.6,4.6,4.3,4.7,4.0,4.6,5.1,4.3,3.3,2.3,2.8,2.8
"안양시",2.6,3.7,3.2,4.3,3.8,4.9,4.5,4.3,3.3,4.6,5.9,4.9,4.6,5.3,4.1,5.1,4.8,4.0,3.4,3.5,2.7,3.2
"부천시",4.2,4.1,4.1,4.4,4.2,4.4,4.7,4.7,4.5,3.6,4.5,4.7,4.2,4.5,4.8,4.5,3.6,4.2,2.8,4.6,4.0,4.0
"광명시",4.5,4.2,3.8,4.3,4.5,4.0,4.1,4.2,4.5,3.8,4.0,4.5,4.6,5.2,4.4,4.8,4.5,4.0,4.3,3.8,3.9,3.2
"평택시",3.1,3.0,2.5,2.6,2.7,3.0,3.5,1.8,2.0,3.5,2.3,4.2,3.8,3.3,3.1,4.1,3.6,3.2,2.8,2.7,2.4,2.5
"동두천시",3.1,5.1,4.8,4.4,3.7,4.5,2.5,4.5,5.0,5.1,4.5,5.1,5.1,5.3,4.5,5.2,4.6,4.8,3.1,4.3,3.1,3.8
"안산시",2.5,3.8,3.3,3.9,4.4,3.8,4.4,3.8,4.3,5.3,4.0,5.3,5.3,4.8,5.0,5.9,5.2,4.8,4.9,4.3,3.5,3.7
"고양시",1.9,1.5,2.3,1.9,2.9,2.2,3.1,3.3,3.7,4.0,3.7,3.8,4.3,2.8,3.5,3.2,4.3,2.7,2.7,2.4,3.1,3.7
"과천시",4.5,2.6,3.8,4.7,4.2,2.5,3.3,3.8,3.3,4.8,3.7,5.5,2.9,3.2,3.2,3.6,3.3,3.0,3.0,3.1,2.6,2.7
"구리시",3.1,3.4,4.6,3.5,3.5,4.4,3.6,3.9,3.4,4.0,3.4,3.4,4.3,4.0,5.3,4.8,4.7,4.3,3.7,3.3,2.7,2.4
"남양주시",3.2,3.4,5.0,3.9,5.2,5.1,3.2,3.9,4.1,3.6,3.7,4.2,3.6,4.8,5.1,4.7,3.9,3.5,3.5,2.9,2.2,2.0
"오산시",4.3,2.3,3.9,4.1,3.8,4.3,2.2,2.1,3.6,4.0,3.6,4.3,5.4,3.7,5.4,5.6,5.0,4.6,4.1,3.9,3.2,3.7
"시흥시",3.1,3.2,3.4,3.0,2.9,3.2,4.0,3.2,3.8,3.8,4.2,4.5,4.8,4.6,5.1,6.1,5.2,5.3,4.6,4.6,3.2,4.5
"군포시",4.8,4.1,5.1,3.3,4.3,4.9,4.0,4.4,3.5,4.7,5.0,4.2,4.5,3.4,5.1,4.2,4.9,3.0,2.8,4.3,2.6,4.3
"의왕시",3.9,4.1,4.5,4.6,4.7,5.1,5.5,3.8,4.2,3.4,3.4,4.8,4.8,4.2,3.6,4.6,4.3,2.8,3.3,3.0,2.0,2.7
"하남시",3.0,2.3,4.5,2.5,2.1,3.0,2.9,2.7,3.7,2.6,2.5,4.1,2.3,3.4,1.8,2.8,3.4,2.0,1.5,2.5,1.9,2.4
"용인시",2.5,1.6,2.8,2.9,4.6,4.0,4.5,3.3,2.7,4.3,3.6,4.2,4.1,4.0,4.1,3.7,3.9,3.5,3.0,3.1,2.6,3.0
"파주시",2.6,1.9,2.9,2.0,2.8,1.6,3.1,2.8,2.8,3.2,3.5,2.4,3.0,1.7,2.8,3.4,3.9,2.1,2.3,2.7,2.0,3.0
"이천시",2.6,2.5,2.6,1.8,3.2,1.9,3.0,2.4,2.7,4.2,2.1,2.2,2.7,2.6,2.8,2.7,3.2,1.8,1.3,1.5,2.8,1.6
"안성시",2.6,2.4,3.2,3.5,1.2,2.0,1.7,1.7,1.5,3.4,2.6,2.5,3.5,2.5,2.4,3.9,3.1,2.6,3.1,2.0,2.4,2.4
"김포시",3.5,2.1,3.7,2.9,2.7,3.4,3.9,3.6,3.5,2.7,3.9,4.0,3.5,4.4,3.5,4.9,2.2,3.5,2.0,3.2,1.8,2.8
"화성시",2.8,2.6,2.0,3.3,3.1,3.4,2.6,1.2,2.3,3.2,3.7,4.2,3.6,2.6,4.0,3.6,3.7,3.1,2.5,1.5,2.8,2.0
"광주시",2.7,3.1,3.5,2.8,4.2,2.6,3.0,3.0,4.3,4.6,2.4,4.1,5.0,3.3,5.0,3.5,4.3,3.4,3.5,4.3,2.9,3.8
"양주시",1.1,3.2,4.4,3.8,2.2,3.4,3.3,3.7,3.9,3.4,4.1,4.5,4.8,3.9,3.6,5.7,3.5,3.1,2.9,3.3,2.4,3.8
"포천시",4.0,3.7,2.7,3.3,3.7,3.4,2.8,1.7,3.6,4.0,3.0,3.0,3.0,2.1,3.6,3.4,2.7,3.5,2.3,2.7,2.3,2.3
"여주시",-,1.1,1.4,1.8,1.4,1.3,1.2,1.7,1.0,2.2,2.5,2.0,1.9,1.6,2.2,1.6,1.5,1.5,1.5,1.5,1.0,2.5
"여주군",1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연천군",3.6,2.0,1.8,2.6,2.1,1.7,1.8,0.3,2.4,1.7,3.5,2.5,3.5,1.5,2.0,2.0,1.2,2.2,1.4,2.3,0.8,1.0
"가평군",2.1,1.6,1.8,1.3,1.9,1.8,2.0,0.9,1.2,1.8,1.4,1.1,1.2,0.7,0.6,0.9,1.8,0.8,1.7,0.7,1.1,1.2
"양평군",1.0,1.4,1.8,1.5,1.9,1.9,3.2,2.2,1.9,1.4,2.1,1.4,1.4,1.5,2.2,1.2,2.0,1.2,1.8,0.9,2.1,1.3
"춘천시",2.0,3.2,3.4,1.9,4.2,3.0,3.6,3.0,2.9,3.1,2.7,2.4,3.6,2.8,4.3,3.9,3.9,3.2,3.0,2.6,2.1,2.0
"원주시",2.7,2.8,3.2,3.4,3.7,3.5,4.0,2.3,3.2,4.4,4.3,2.8,4.8,2.9,3.3,4.2,3.5,4.0,3.4,4.0,3.0,3.0
"강릉시",2.2,1.8,2.3,2.0,2.9,2.5,2.6,2.2,3.4,3.0,2.6,2.0,2.6,2.2,3.7,2.9,2.2,1.5,1.9,2.1,1.8,1.4
"동해시",2.1,2.1,3.1,2.1,3.5,3.0,3.7,1.4,3.9,1.3,3.6,1.5,3.1,2.4,2.3,2.0,1.1,1.4,1.2,1.7,0.4,0.9
"태백시",1.0,0.8,0.6,0.7,0.1,0.6,0.8,0.4,0.8,1.0,0.2,0.2,0.5,0.8,1.6,3.3,1.4,2.0,0.9,1.3,1.0,0.7
"속초시",0.8,1.2,1.1,1.1,1.2,0.7,0.8,0.6,0.8,0.7,0.9,0.6,1.0,1.0,0.9,1.3,1.8,1.5,1.4,1.9,1.9,1.3
"삼척시",0.7,2.2,1.5,3.2,2.0,1.6,1.9,3.0,2.8,2.3,3.3,2.1,2.4,2.2,1.4,1.4,1.2,1.4,1.0,0.6,1.5,0.5
"홍천군",0.3,1.3,1.2,1.2,0.5,1.3,2.0,1.2,2.0,3.9,1.6,1.9,2.5,2.7,2.8,1.6,1.8,1.7,1.4,1.6,1.2,0.9
"횡성군",1.0,2.0,1.2,1.6,1.9,1.5,1.3,1.6,0.7,1.9,1.4,1.3,2.0,2.0,1.4,2.1,1.2,1.9,1.9,1.9,1.8,1.3
"영월군",1.5,1.8,0.6,2.6,1.9,0.9,0.8,2.0,1.0,1.6,1.3,1.6,1.8,1.9,2.1,2.4,1.1,1.3,1.0,1.0,0.7,0.8
"평창군",1.2,0.5,0.6,0.9,1.1,0.4,1.3,1.4,1.5,0.7,0.5,1.1,0.7,1.4,1.3,0.9,0.8,0.6,0.7,1.4,0.2,0.4
"정선군",0.5,0.5,0.4,1.2,0.9,1.5,1.2,1.6,1.7,1.7,0.6,0.4,0.7,0.6,0.6,1.4,1.2,0.7,0.2,0.6,0.2,0.4
"철원군",0.9,0.3,0.5,0.6,0.1,1.5,1.3,1.9,1.7,1.8,0.7,1.6,0.6,0.3,2.4,0.9,2.5,1.8,0.7,0.7,0.6,0.4
"화천군",0.7,0.2,0.3,0.7,0.7,0.7,0.2,0.5,0.4,3.2,1.1,0.8,0.7,0.5,1.9,0.5,1.7,0.2,0.3,0.8,0.5,0.4
"양구군",0.9,1.0,0.2,0.9,1.6,1.3,1.6,1.6,1.5,0.8,1.6,0.9,2.9,1.2,3.4,0.9,1.1,1.3,1.6,1.2,0.6,0.4
"인제군",0.3,0.2,0.8,1.3,2.2,0.7,1.6,0.5,0.4,3.7,1.9,2.4,1.4,1.5,2.4,0.9,1.2,0.7,0.7,1.7,1.0,1.0
"고성군",0.3,0.1,0.6,0.7,1.0,0.4,0.3,0.3,0.2,0.4,0.4,1.6,0.7,0.2,2.0,0.9,1.5,1.3,1.3,1.2,2.1,0.8
"양양군",1.4,1.3,1.5,1.3,1.6,1.9,1.4,1.1,0.7,1.2,1.2,2.1,2.2,1.8,2.2,1.2,2.0,1.3,1.6,1.2,1.2,1.1
"청주시",2.7,3.0,3.8,2.7,4.4,2.3,3.4,3.0,3.1,2.5,3.6,3.0,3.6,2.1,3.0,3.3,3.4,2.7,3.3,2.5,2.8,2.3
"충주시",3.1,3.4,2.8,3.0,3.1,2.4,3.5,2.3,3.3,2.6,2.3,2.2,2.4,2.0,2.4,2.3,1.2,1.3,1.5,1.8,1.2,0.9
"제천시",1.4,1.5,2.1,1.6,1.9,0.6,2.2,1.2,1.2,1.0,2.4,1.1,1.7,1.7,2.3,4.2,2.1,1.2,2.2,1.1,1.7,1.3
"청원군",2.3,2.0,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"보은군",0.5,0.1,0.1,0.1,0.6,0.6,0.9,1.3,0.8,0.1,0.5,0.9,1.8,1.1,1.2,0.3,0.4,0.8,0.5,0.5,0.3,0.2
"옥천군",1.9,0.8,1.6,2.3,2.0,1.2,0.8,0.8,1.0,0.5,1.0,1.7,1.4,1.4,1.8,1.3,1.7,1.6,0.7,1.8,1.7,1.3
"영동군",1.2,0.4,0.9,0.6,1.0,1.3,1.6,1.9,1.1,1.0,0.2,1.5,1.0,0.5,0.8,1.0,0.7,1.7,1.1,1.9,0.7,1.1
"진천군",1.6,2.0,2.6,1.8,2.2,2.8,3.2,2.8,2.5,1.7,2.0,2.2,2.0,1.3,3.5,3.5,3.1,1.5,1.8,2.7,3.0,2.7
"괴산군",0.4,2.6,1.5,1.6,1.0,1.0,1.2,2.3,2.9,2.1,1.3,2.1,1.0,1.9,0.6,1.5,2.3,1.3,1.9,2.0,1.9,1.6
"음성군",1.2,1.3,0.9,2.2,2.7,2.0,2.2,2.2,1.9,3.4,2.8,3.1,2.4,2.7,2.7,2.1,2.5,1.6,2.4,2.7,2.4,3.2
"단양군",0.6,1.2,2.5,1.8,1.0,0.5,1.3,0.8,0.6,1.5,1.0,1.4,1.7,1.9,2.0,1.6,2.4,2.1,2.3,1.3,1.8,1.0
"증평군",2.0,2.0,2.2,1.3,2.2,2.8,2.6,1.7,2.3,2.4,2.0,2.4,4.0,2.6,4.4,3.3,3.2,2.6,3.0,2.0,3.9,3.5
"천안시",2.2,2.4,3.4,2.4,3.3,3.0,3.7,2.8,2.7,2.9,3.2,3.1,3.1,2.3,3.8,3.2,2.5,2.4,1.8,2.3,2.7,1.9
"공주시",1.9,1.5,1.9,1.1,1.5,1.3,1.3,1.4,1.3,1.1,0.9,1.7,2.3,2.2,3.5,4.9,2.9,3.2,1.7,2.6,3.2,2.4
"보령시",2.5,1.4,1.7,1.3,3.3,1.9,2.7,1.9,2.2,2.8,2.4,1.1,2.6,1.3,1.0,1.5,2.4,1.0,1.3,2.1,1.0,1.8
"아산시",2.1,2.3,2.2,2.3,1.8,1.9,1.7,1.9,1.7,2.7,2.7,2.8,3.2,2.3,2.7,2.9,1.7,2.7,1.6,3.1,2.5,1.6
